codigo,pergunta,Ano
B003,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família?",2019
B004,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)",2019
C001,Número de pessoas no domicílio,2019
C00301,Número de ordem do morador,2019
C004,Condição no domicílio,2019
C006,Sexo,2019
C00701,Dia de nascimento,2019
C00702,Mês de nascimento,2019
C00703,Ano de nascimento,2019
C008,Idade do morador na data de referência,2019
C009,Cor ou raça,2019
C01001,Cônjuge ou companheiro(a) mora em nesse domicílio.,2019
C010010,Número de ordem do cônjuge ou companheiro(a),2019
C011,Qual é o estado civil de ___?,2019
C012,Informante do Módulo C,2019
C013,Cônjuge ou companheiro(a) mora em outro domicílio.,2019
C014,Qual é a natureza dessa união?,2019
C015,Esta união é registrada em cartório?,2019
C016,Foi realizada cerimônia religiosa para esta união?,2019
C017,___já viveu com cônjuge ou companheiro (a) antes?,2019
C018,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?,2019
C01801,Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?,2019
D001,Sabe ler e escrever,2019
D00201,Frequenta escola ou creche,2019
D00202,A escola que frequenta é da,2019
D00301,Qual é o curso que frequenta,2019
D00501,Esse curso que ___ frequenta é dividido em,2019
D006,Qual é o ano/semestre/série que ___frequenta?,2019
D00601,Qual é a etapa do ensino fundamental que ___ frequenta,2019
D007,___já concluiu algum outro curso superior de graduação,2019
D008,Anteriormente ___frequentou escola ou creche,2019
D00901,Qual foi o curso mais elevado que ___frequentou,2019
D010,A duração deste curso que ___frequentou anteriormente era de,2019
D01101,Este curso que ___ frequentou anteriormente era dividido em,2019
D01201,"concluiu, com aprovação, pelo menos o primeiro ano/semestre/série deste curso que frequentou",2019
D01301,"Qual foi o último ano/semestre/série que ___ concluiu, com aprovação, neste curso que frequentou",2019
D01302,Qual foi a etapa de ensino fundamental que ___frequentou,2019
D01303,___concluiu os anos iniciais deste curso que frequentou,2019
D014,___concluiu este curso que frequentou,2019
D015,Informante do Módulo D,2019
E001,"Na semana de___ a___ (semana de referência), ___ trabalhou ou estagiou, durante pelo menos uma hora, em alguma atividade remunerada em dinheiro",2019
E002,"Na semana de ___a___ (semana de referência), ___ trabalhou ou estagiou, durante pelo menos uma hora, em alguma atividade remunerada em produtos, mercadorias, moradia, alimentação, treinamento ou aprendizado etc",2019
E003,"Na semana de ___ a ___ (semana de referência), ___ fez algum bico ou trabalhou em alguma atividade ocasional remunerada durante pelo menos 1 hora",2019
E004,"Na semana de ___ a ___ (semana de referência), ___ ajudou durante pelo menos 1 hora, sem receber pagamento, no trabalho remunerado de algum morador do domicílio ou de parente",2019
E005,"Na semana de ___ a ___ (semana de referência), ___ tinha algum trabalho remunerado do qual estava temporariamente afastado",2019
E006011,"Na semana de ___ a ___ (semana de referência), por que motivo ___ estava afastado desse trabalho",2019
E008,A doença ou acidente foi relacionado ao trabalho?,2019
E010010,"Em ___ /___ /___ (último dia da semana de referência), fazia quanto tempo que ___ estava afastado desse trabalho",2019
E010011,Tempo que estava afastado (De 1 mês a menos de 1 ano),2019
E010012,Tempo que estava afastado (De 1 ano a menos de 2 anos),2019
E010013,Tempo que estava afastado (De 2 anos a 98 anos),2019
E011,Quantos trabalhos ___tinha na semana de ___ a ___,2019
E01201,Qual era a ocupação (cargo ou função) que ___ tinha nesse trabalho,2019
E01401,"Nesse trabalho, ___ era",2019
E014011,Trabalhador não remunerado em ajuda a membro do domicílio ou parente,2019
E01402,"Nesse trabalho, ___era servidor público estatutário (federal, estadual ou municipal)",2019
E01403,"Nesse trabalho, ___tinha carteira de trabalho assinada",2019
E01501,Qual era a principal atividade desse negócio/empresa,2019
E01601,...recebia/fazia normalmente nesse trabalho rendimento/retirada em dinheiro?,2019
E01602,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse trabalho?(valor em dinheiro),2019
E01603,...recebia/fazia normalmente nesse trabalho rendimento/retirada em produtos ou mercadorias?,2019
E01604,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse trabalho?(valor estimado em produtos ou mercadorias),2019
E01605,...recebia/fazia normalmente nesse trabalho rendimento/retirada somente em benefícios ?,2019
E017,"Quantas horas ___ trabalhava normalmente, por semana, nesse trabalho?",2019
E01801,...recebia/fazia normalmente nesse(s) outro(s) trabalho(s) rendimento/retirada em dinheiro?,2019
E01802,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse(s) outro(s) trabalho(s)?(valor em dinheiro),2019
E01803,...recebia/fazia normalmente nesse(s) outro(s) trabalho(s) rendimento/retirada em produtos ou mercadorias?,2019
E01804,Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse(s) outro(s) trabalho(s)?(valor estimado em produtos ou mercadorias),2019
E01805,...recebia/fazia normalmente nesse(s) outro(s) trabalho(s) rendimento/retirada somente em benefícios ?,2019
E019,"Quantas horas ___ trabalhava normalmente, por semana, nesses outros trabalhos?",2019
E022,"No período de ___ a ___ (período de referência de 30 dias), ___ tomou alguma providência para conseguir trabalho, seja um emprego ou um negócio próprio?",2019
E023011,"No período de ___ a ___ (período de referência de 30 dias), qual foi a principal providência que ___ tomou para conseguir trabalho?",2019
E024011,Qual foi o principal motivo de ___ não ter tomado providência para conseguir trabalho no período de ___ a ___ (período de referência de 30 dias)?,2019
E02402,Quanto tempo depois de __/__/__ (último dia da semana de referência) ___ irá começar esse trabalho que conseguiu?,2019
E024021,Número de meses para começar o trabalho que conseguiu.,2019
E025,"Até o dia ___ (último dia da semana de referência), fazia quanto tempo que___ estava sem qualquer trabalho e tentando conseguir trabalho?",2019
E02501,fazia quanto tempo que vinha procurando trabalho (de 1 mês a menos de 1 ano),2019
E02502,fazia quanto tempo que vinha procurando trabalho (de 1 ano a menos de 2 anos),2019
E02503,fazia quanto tempo vinha procurando trabalho (2 anos ou mais),2019
E026,Se tivesse conseguido um trabalho ___ poderia ter começado a trabalhar na semana de___ a ___ (semana de referência),2019
E02601,"No período de ___ a ___ (período de referência de 358 dias), ___ trabalhou, por pelo menos 1 hora?",2019
E027,Informante do Módulo E,2019
E02801,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Auxiliar nos cuidados pessoais (alimentar, vestir, pentear, da",2019
E02802,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Auxiliar em atividades educacionais",2019
E02803,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Ler, jogar ou brincar",2019
E02804,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Monitorar ou fazer companhia dentro do domicílio",2019
E02805,"Na semana de ___a___ (semana de referência), ___ realizou tarefas de cuidados de moradores deste domicílio que eram crianças, idosos, enfermos ou pessoas com necessidades especiais, tais como: Transportar ou acompanhar para escola, médico, exames, parque,",2019
E02806,Outras tarefas de cuidados de moradores do domicílio,2019
E030,"Na semana de ___ a ___ (semana de referência), ___ cuidou de parentes que não moravam neste domicílio e que precisavam de cuidados (crianças, idosos, enfermos ou pessoas com necessidades especiais)?",2019
E03101,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: preparar ou servir alimentos, arrumar a mesa ou lavar as louças?",2019
E03102,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: cuidar da limpeza ou manutenção de roupas e sapatos/",2019
E03103,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: fazer pequenos reparos ou manutenção do domicílio, do automóvel, de eletrodomésticos ou outros equipamentos?",2019
E03104,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Limpar ou arrumar o domicílio, a garagem, o quintal ou o jardim?",2019
E03105,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Cuidar da organização do domicílio (pagar contas, contratar serviços, orientar empregados etc.)?",2019
E03106,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Fazer compras ou pesquisar preços de bens para o domicílio?",2019
E03107,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Cuidar dos animais domésticos?",2019
E03108,"Na semana de___a___ (semana de referência), ___fez tarefas domésticas para o próprio domicílio, tais como: Outras tarefas domésticas?",2019
E032,". Na semana de___a___ (semana de referência), ___fez alguma tarefa doméstica em domicílio de parente?",2019
E033,". Na semana de___a___ (semana de referência), ___ qual foi o total de horas que dedicou às atividades de cuidados de pessoas e/ou afazeres domésticos?",2019
F001011,"Em (mês da pesquisa) ___ recebia normalmente rendimento de aposentadoria ou pensão de instituto de previdência federal (INSS), estadual, municipal, ou do governo federal, estadual, municipal?",2019
F001021,Valor habitualmente recebido,2019
F007011,"Em (mês da pesquisa), ___ recebia normalmente rendimento de pensão alimentícia, doação ou mesada em dinheiro de pessoa que não morava no domicílio?",2019
F007021,Valor habitualmente recebido,2019
F008011,"Em (mês da pesquisa), ___ recebia normalmente rendimento de aluguel ou arrendamento?",2019
F008021,Valor habitualmente recebido,2019
F016,Informante do Módulo F,2019
G032,Informante do Módulo G,2019
G033,. ___ usa óculos ou outro aparelho de auxílio para lidar com problemas de visão?,2019
G034,____________ faz uso de óculos?,2019
G035,Os óculos foram obtidos no SUS?,2019
G036,____________ faz uso de lentes de contato?,2019
G038,____________ faz uso de lupas ou lentes especiais?,2019
G039,As lupas ou lentes especiais foram obtidos no SUS?,2019
G040,____________ faz uso de bengala articulada?,2019
G041,A bengala articulada foi obtida no SUS?,2019
G042,____________ faz uso de cão guia?,2019
G044,____________ faz uso de algum outro aparelho de auxílio para lidar com problemas de visão?,2019
G046,". ___ tem dificuldade permanente de enxergar mesmo usando óculos, lentes de contato ou lupas?",2019
G047,___ tem dificuldade permanente de enxergar?,2019
G048,___ usa aparelho auditivo ou outro aparelho de auxílio para ouvir melhor?,2019
G049,____________ faz uso de aparelho auditivo,2019
G050,O aparelho auditivo foi obtido no SUS?,2019
G051,____________ faz uso de implante coclear?,2019
G052,O implante coclear foi obtido no SUS?,2019
G053,____________ faz uso de sistema de frequência modulada individual (sistema FM)?,2019
G054,O sistema de frequência modulada individual (sistema FM) foi obtido no SUS?,2019
G055,____________ faz uso de algum outro aparelho de auxílio para ouvir melhor?,2019
G057,"___ tem dificuldade permanente de ouvir mesmo usando aparelhos auditivos? (Para moradores com 5 anos ou mais de idade.) 
 
 OU
  ___ tem dificuldade permanente para ouvir sons como vozes ou música, mesmo usando aparelhos auditivos? (Para moradores com 2 a 4",2019
G058,"___ tem dificuldade permanente de ouvir? (Para moradores com 5 anos ou mais de idade.)
 
 OU
 
 ___ tem dificuldade permanente de ouvir sons como vozes ou música? (Para moradores com 2 a 4 anos de idade.)",2019
G05801,Sabe usar a Língua Brasileira de Sinais – Libras? (Para moradores com 5 anos ou mais de idade.),2019
G059,___ usa algum aparelho de auxílio para se locomover?,2019
G060,____________ faz uso de cadeira de rodas?,2019
G061,A cadeira de rodas foi obtida no SUS?,2019
G062,"____________ faz uso de bengala, muletas ou andador?",2019
G063,"A bengala, muletas ou andador foram obtidas no SUS?",2019
G064,____________ faz uso de prótese?,2019
G065,A prótese foi obtida no SUS?,2019
G066,____________ faz uso de órtese?,2019
G067,A órtese foi obtida no SUS?,2019
G068,____________ faz uso de algum outro aparelho de auxílio para se locomover?,2019
G070,"___ tem dificuldade permanente de caminhar ou subir degraus, mesmo usando prótese, bengala ou outro aparelho de auxílio? (Para moradores com 5 anos ou mais de idade.)
 
 OU
 
 Comparado com crianças da mesma idade, ___ tem dificuldade permanente para caminhar",2019
G071,"___ tem dificuldade permanente de caminhar ou subir degraus? (Para moradores com 5 anos ou mais de idade.)
 
 OU
 
 Comparado com crianças da mesma idade, ___ tem dificuldade permanente para caminhar? (Para moradores com 2 a 4 anos de idade.)",2019
G072,___ usa algum aparelho de auxílio para realizar movimentos com os membros superiores?,2019
G073,____________ faz uso de prótese para os membros superiores?,2019
G074,A prótese para os membros superiores foi obtida no SUS?,2019
G075,____________ faz uso de órtese para os membros superiores?,2019
G076,A órtese para os membros superiores foi obtida no SUS?,2019
G077,____________ faz uso de algum outro aparelho de auxílio para realizar movimentos com os membros superiores?,2019
G079,"___tem dificuldade permanente para levantar uma garrafa com dois litros de água da cintura até a altura dos olhos, mesmo usando prótese ou aparelho de auxílio? (Somente para moradores com 5 anos ou mais de idade.)",2019
G080,"___ tem dificuldade permanente para pegar objetos pequenos, como botões e lápis, ou abrir e fechar recipientes ou garrafas, mesmo usando prótese ou aparelho de auxílio? (Somente para moradores com 5 anos ou mais de idade.)
 
 OU
 
 Comparado com crianças da m",2019
G081,___ tem dificuldade permanente para levantar uma garrafa com dois litros de água da cintura até a altura dos olhos? (Somente para moradores com 5 anos ou mais de idade.),2019
G082,"___ tem dificuldade permanente para pegar objetos pequenos, como botões e lápis, ou abrir e fechar recipientes ou garrafas? (Somente para moradores com 5 anos ou mais de idade.)
 
 OU
 Comparado com crianças da mesma idade, ___ tem dificuldade permanente par",2019
G083,"Por causa de alguma limitação nas funções mentais ou intelectuais, _________ tem dificuldade permanente para realizar atividades habituais, como se comunicar, realizar cuidados pessoais, trabalhar, ir à escola, brincar, etc.? (Para moradores com 5 anos ou",2019
G084,"Nos últimos doze meses ___ recebe ou recebeu, algum cuidado em reabilitação de forma regular? (Por reabilitação quero dizer fisioterapia, terapia ocupacional, fonoaudiologia psicoterapia etc.)",2019
G085,Onde você recebe (recebeu) esse cuidado em reabilitação?,2019
G086,Como você conseguiu ter acesso a esse cuidado em reabilitação?,2019
H001,Quando foi a última vez que o(a) sr(a) consultou com um(a) médico(a)?,2019
H002,Essa consulta foi o seu primeiro atendimento com esse(a) médico(a)?,2019
H003,Por qual motivo o(a) sr(a) precisou consultar com um(a) médico(a),2019
H004,Onde procurou o atendimento médico por este motivo?,2019
H005,"Você geralmente procura “esse(a) médico(a)"" quando adoece ou precisa de conselhos sobre a sua saúde?",2019
H006,"“Esse(a)"" é o(a) médico(a) que melhor conhece você como pessoa?",2019
H007,"“Esse(a)"" é o(a) médico(a) mais responsável por seu atendimento de saúde?",2019
H008,"Quando você tem um novo problema de saúde, você vai à “esse(a) médico(a)"" antes de ir a outro serviço de saúde?",2019
H009,"Quando o(a) “serviço de saúde” está aberto(a), você consegue aconselhamento rápido pelo telefone se precisar?",2019
H010,"É difícil para você conseguir atendimento médico no(a) ""serviço de saúde” quando pensa que é necessário?",2019
H011,"Quando você vai ao(à) ""serviço de saúde"", é o(a) mesmo(a) médico(a) que atende você todas as vezes?",2019
H012,Você se sente à vontade contando as suas preocupações ou problemas à “esse(a) médico(a)”?,2019
H013,“Esse(a) médico(a)” sabe quais problemas são mais importantes para você?,2019
H014,"Se fosse muito fácil, você mudaria do(a) “serviço de saúde” para outro serviço de saúde?",2019
H015,"Você foi consultar qualquer tipo de especialista ou serviço especializado no período em que você está em acompanhamento com “esse(a) médico(a)""?",2019
H016,"“Esse(a) médico(a)"" sugeriu (indicou, encaminhou) que você fosse consultar com esse(a) especialista ou serviço especializado?",2019
H017,“Esse(a) médico(a)” escreveu alguma informação para o(a) especialista sobre o motivo dessa consulta?,2019
H018,“Esse(a) médico(a)” sabe quais foram os resultados dessa consulta?,2019
H019,“Esse(a) médico(a)” pareceu interessado(a) na qualidade do cuidado que você recebeu no(a) especialista ou serviço especializado (perguntou se você foi bem ou mal atendido(a))?,2019
H020,"Se quisesse, você poderia ler (consultar) o seu prontuário médico no(a) ""serviço de saúde""?",2019
H021,"Aconselhamento para problemas de saúde mental (ex.: ansiedade, depressão)",2019
H022,Aconselhamento sobre como parar de fumar,2019
H023,"Aconselhamento sobre as mudanças que acontecem com o envelhecimento (ex.: diminuição da memória, risco de cair)",2019
H024,"Orientações sobre alimentação saudável, boa higiene e sono adequado (dormir suficientemente)",2019
H025,Orientações sobre exercícios físicos apropriados para você,2019
H026,Verificar e discutir os medicamentos que você está usando,2019
H027,Como prevenir quedas,2019
H028,“Esse(a) médico(a)” pergunta as suas ideias e opiniões (o que você pensa) ao planejar o tratamento e cuidado para você ou para um membro da sua família?,2019
H029,“Esse(a) médico(a)” se reuniria com membros de sua família se você achasse necessário?,2019
H030,No seu seviço de saúde são realizadas pesquisas com os pacientes para ver se os serviços estão satisfazendo (atendendo) as necessidades das pessoas,2019
I00101,"tem algum plano odontológico particular, de empresa ou órgão público?",2019
I00102,"tem algum plano de saúde médico particular, de empresa ou órgão público?",2019
I001021,Quantos?,2019
I00103,Quem é o titular do plano de saúde médico (único ou principal)?,2019
I001031,Nº de ordem do titular,2019
I004,"O plano de saúde médico (único ou principal) que _____ possui é de instituição de assistência de servidor público (municipal, estadual ou militar)?",2019
I00401,O plano de saúde (único ou principal) de assistência médica que ___ possui dá direito a consultas,2019
I00402,O plano de saúde (único ou principal) de assistência médica que ___ possui dá direito a exames,2019
I00403,O plano de saúde (único ou principal) de assistência médica que ___ possui dá direito a internações,2019
I00404,O plano de saúde (único ou principal) de assistência médica que ___ possui dá direito a partos,2019
I005,Há quanto tempo sem interrupção _____ possui esse plano de saúde (único ou principal)?,2019
I006,___ considera este plano de saúde:,2019
I010010,Quem paga a mensalidade deste plano de saúde?,2019
I012,Informante do Módulo I,2019
J001,"De um modo geral, como é o estado de saúde de________",2019
J00101,"Considerando saúde como um estado de bem-estar físico e mental, e não somente a ausência de doenças, como é o estado de saúde de _____________?",2019
J002,"Nas duas últimas semanas, ___ deixou de realizar quaisquer de suas atividades habituais (trabalhar, ir à escola, brincar, afazeres domésticos etc.) por motivo da própria saúde",2019
J003,"Nas duas últimas semanas, quantos dias _____ deixou de realizar suas atividades habituais, por motivo da própria saúde",2019
J00402,Qual foi o principal motivo de saúde que impediu ___ de realizar suas atividades habituais nas duas últimas semanas,2019
J00404,Este motivo de saúde estava relacionado ao trabalho,2019
J005,Nas duas últimas semanas___ esteve acamado (a),2019
J006,"Nas duas últimas semanas, quantos dias _____ esteve acamado (a)",2019
J007,"Algum médico já deu o diagnóstico de alguma doença crônica, física ou mental, ou doença de longa duração (de mais de 6 meses de duração) a ___",2019
J00801,"Alguma dessas doenças limita de alguma forma suas atividades habituais (trabalhar, ir à escola, brincar, afazeres domésticos, etc.)",2019
J009,"___ costuma procurar o mesmo lugar, mesmo médico ou mesmo serviço de saúde quando precisa de atendimento de saúde",2019
J01002,Quando está doente ou precisando de atendimento de saúde___ costuma procurar,2019
J01101,Quando ____ consultou um médico pela última vez,2019
J012,Quantas vezes ___ consultou um médico nos últimos 12 meses,2019
J01301,Quando ___ consultou um dentista pela última vez,2019
J014,"Nas duas últimas semanas, ___ procurou algum lugar, serviço ou profissional de saúde para atendimento relacionado à própria saúde",2019
J01502,Qual foi o motivo principal pelo qual ___ procurou atendimento relacionado à própria saúde nas duas últimas semanas,2019
J01602,Onde ___ procurou o primeiro atendimento de saúde por este motivo nas duas últimas semanas,2019
J01701,"Nessa primeira vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas",2019
J01802,Por que motivo ___ não foi atendido(a) na primeira vez que procurou atendimento de saúde nas duas últimas semanas,2019
J019,"Nas duas últimas semanas, quantas vezes ___ voltou a procurar atendimento de saúde por este mesmo motivo",2019
J02002,Onde ___ procurou o último atendimento de saúde por este motivo nas duas últimas semanas,2019
J021,"Nessa última vez que procurou atendimento de saúde por este motivo, nas duas últimas semanas, ___ foi atendido (a)",2019
J022010,Por que motivo ___ não foi atendido (a) nessa última vez que procurou atendimento de saúde nas duas últimas semanas,2019
J023,Este serviço de saúde onde___ foi atendido era:,2019
J024,Este atendimento de saúde de ___ foi coberto por algum plano de saúde,2019
J025,___ pagou algum valor por este atendimento de saúde recebido nas duas últimas semanas,2019
J026,O atendimento de ___ foi feito pelo SUS,2019
J02702,Qual foi o principal atendimento de saúde que ___ recebeu?,2019
J02901,"Neste atendimento de ___, foi receitado algum medicamento",2019
J03001,__conseguiu obter os medicamentos receitados? (Leia as opções de resposta),2019
J03102,Qual o principal motivo de ___ não ter conseguido obter todos os medicamentos receitados,2019
J032,Algum dos medicamentos foi coberto por plano de saúde,2019
J03301,Algum dos medicamentos foi obtido no programa Aqui Tem Farmácia Popular,2019
J034,Algum dos medicamentos foi obtido em serviço público de saúde,2019
J035,___ pagou algum valor pelos medicamentos,2019
J03602,"Nas duas últimas semanas, por que motivo ___ não procurou serviço de saúde",2019
J037,"Nos últimos 12 meses, ___ ficou internado(a) em hospital por 24 horas ou mais",2019
J038,"Nos últimos 12 meses, quantas vezes ___ esteve internado(a)",2019
J039,Qual foi o principal atendimento de saúde que ___recebeu quando esteve internado(a) (pela última vez) nos doze últimos meses,2019
J04001,Quanto tempo em meses o morador ficou internado,2019
J04002,Quanto tempo em dias o morador ficou internado,2019
J041,O estabelecimento de saúde em que ___ esteve internado(a) pela última vez nos últimos 12 meses era,2019
J042,A última internação de ___ nos últimos 12 meses foi coberta por algum plano de saúde,2019
J043,"___ pagou algum valor por esta última internação? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",2019
J044,Esta última internação de ___ foi feita através do Sistema Único de Saúde (SUS),2019
J046,"Nos últimos 12 meses, ___ teve atendimento de urgência ou emergência no domicílio",2019
J047,Este atendimento foi coberto por algum plano de saúde,2019
J048,"___pagou algum valor por este atendimento? (Entrevistador: se o(a) entrevistado(a) responder que pagou, mas teve reembolso total, marque a opção 2)",2019
J049,Este atendimento foi feito através do Sistema Único de Saúde (SUS),2019
J051,"Neste atendimento, ___ foi transportado por ambulância para um serviço de saúde",2019
J052,O transporte foi feito por,2019
J05301,"Nos últimos doze meses, ___ utilizou tratamento como acupuntura, homeopatia, plantas medicinais e fitoterapia, meditação, yoga, tai chi chuan, lian gong ou outra prática integrativa e complementar a saúde?",2019
J054010,Qual tratamento _________ fez uso Outro,2019
J05402,Qual tratamento _________ fez uso Acupuntura,2019
J05403,Qual tratamento _________ fez uso Homeopatia,2019
J05404,Qual tratamento _________ fez uso plantas medicinais e fitoterapia,2019
J05405,Qual tratamento _________ fez uso auriculoterapia,2019
J05406,Qual tratamento _________ fez uso meditação,2019
J05407,Qual tratamento _________ fez uso Yoga,2019
J05408,"Qual tratamento _________ fez uso Tai chi chuan, Lian gong, Qi gong",2019
J05409,Qual tratamento _________ fez uso Terapia comunitária integrativa,2019
J056,___ pagou algum valor por este(s) tratamento(s),2019
J057,Este(s) tratamento(s) foi (foram) feito(s) através do Sistema Único de Saúde (SUS):,2019
J060,Informante do Módulo J,2019
K001,"Em geral, que grau de dificuldade ___ tem para comer sozinho (a) com um prato colocado à sua frente, incluindo segurar um garfo, cortar alimentos e beber em um copo",2019
K004,"Em geral, que grau de dificuldade ___ tem para tomar banho sozinho(a) incluindo entrar e sair do chuveiro ou banheira",2019
K007,"Em geral, que grau de dificuldade ___ tem para ir ao banheiro sozinho(a) incluindo sentar e levantar do vaso sanitário",2019
K010,"Em geral, que grau de dificuldade ___ tem para se vestir sozinho(a), incluindo calçar meias e sapatos, fechar o zíper, e fechar e abrir botões",2019
K013,"Em geral, que grau de dificuldade ___ tem para andar em casa sozinho(a) de um cômodo a outro em um mesmo andar, como do quarto para a sala",2019
K016,"Em geral, que grau de dificuldade ___ tem para deitar-se ou levantar-se da cama sozinho(a)",2019
K019,"Em geral, que grau de dificuldade ___ tem para sentar-se ou levantar-se da cadeira sozinho",2019
K01901,"___ precisa de ajuda para realizar alguma(s) destas atividades (comer, tomar banho, ir ao banheiro, se vestir, andar em casa de um cômodo ao outro, deitar-se ou levantar-se da cama sozinho, sentar ou levantar da cadeira sozinho)",2019
K02001,___ recebe ajuda para realizar alguma(s) destas atividades,2019
K02101,"Na maioria das vezes, quem presta ajuda a ___ para realizar algumas dessas atividades",2019
K02102,Essa pessoa que lhe presta ajuda é remunerada por este serviço,2019
K022,"Em geral, que grau de dificuldade ___ tem para fazer compras sozinho(a), por exemplo de alimentos, roupas ou medicamentos",2019
K025,"Em geral, que grau de dificuldade ___ tem para administrar as finanças sozinho(a) (cuidar do seu próprio dinheiro)",2019
K028,"Em geral, que grau de dificuldade ___ tem para tomar os remédios sozinho (a) (Engolir o remédio, organizar horário e capacidade de lembrar de tomar o remédio)",2019
K031,"Em geral, que grau de dificuldade ___ tem para ir ao médico sozinho(a)",2019
K034,"Em geral, que grau de dificuldade ___ tem para sair sozinho(a) utilizando um transporte como ônibus, metrô, táxi, carro, etc.",2019
K03401,"___ precisa de ajuda para realizar alguma(s) destas atividades (fazer compras, administrar as finanças, tomar os remédios, ir ao médico, sair utilizando um transporte como ônibus, metrô, táxi, carro, etc. )",2019
