Códigos das respostas,Respostas Possíveis,Código da variável,Número do item da pergunta,Ano
9,Ignorado,C014,C14,2019
1,Sim,C015,C15,2019
2,Não,C015,C15,2019
9,Ignorado,C015,C15,2019
1,Sim,C016,C16,2019
2,Não,C016,C16,2019
9,Ignorado,C016,C16,2019
1,Sim,C017,C17,2019
2,Não,C017,C17,2019
9,Ignorado,C017,C17,2019
1,Idade,C018,C18,2019
2,Não sabe/não lembra,C018,C18,2019
000 a 130,Idade (em anos),C01801,C18,2019
1,Casado(a),C011,C11,2019
2,Divorciado(a) ou desquitado(a) ou separado(a) judicialmente,C011,C11,2019
3,Viúvo(a),C011,C11,2019
4,Solteiro(a),C011,C11,2019
9,Ignorado,C011,C11,2019
1,A própria pessoa,C012,C12,2019
2,Outro morador,C012,C12,2019
3,Pessoa não moradora,C012,C12,2019
9,Ignorado,C012,C12,2019
1,Sim,D001,D1,2019
2,Não,D001,D1,2019
9 ,Ignorado,D001,D1,2019
1,Sim,D00201,D2a,2019
2,Não  ,D00201,D2a,2019
9 ,Ignorado,D00201,D2a,2019
1,Rede privada                         ,D00202,D2b,2019
2,Rede pública,D00202,D2b,2019
9 ,Ignorado,D00202,D2b,2019
01,Creche,D00301,D3a,2019
02,Pré-escola ,D00301,D3a,2019
03,Alfabetização de jovens e adultos,D00301,D3a,2019
04,Regular do ensino fundamental,D00301,D3a,2019
05,Educação de jovens e adultos (EJA) do ensino fundamental,D00301,D3a,2019
06,Regular do ensino médio,D00301,D3a,2019
07,Educação de jovens e adultos (EJA) do ensino médio,D00301,D3a,2019
08,Superior - graduação,D00301,D3a,2019
09,Especialização de nível superior (duração mínima de 360 horas),D00301,D3a,2019
10,Mestrado,D00301,D3a,2019
11,Doutorado,D00301,D3a,2019
99,Ignorado,D00301,D3a,2019
1,Períodos semestrais,D00501,D5a,2019
2,Anos,D00501,D5a,2019
3,Outra forma,D00501,D5a,2019
9 ,Ignorado,D00501,D5a,2019
1,Primeira(o),D006,D6,2019
2,Segunda(o) ,D006,D6,2019
3,Terceira(o) ,D006,D6,2019
4,Quarta(o),D006,D6,2019
5,Quinta(o),D006,D6,2019
6,Sexta(o),D006,D6,2019
7,Sétima(o),D006,D6,2019
8,Oitava(o),D006,D6,2019
9,Nona(o),D006,D6,2019
10,Décimo,D006,D6,2019
11,Décimo primeiro,D006,D6,2019
12,Décimo segundo,D006,D6,2019
13,Curso não classificado em séries ou anos,D006,D6,2019
99,Ignorado,D006,D6,2019
1,Anos iniciais (primeiro segmento) ,D00601 ,D6a,2019
2,Anos finais (segundo segmento) ,D00601 ,D6a,2019
9 ,Ignorado,D00601 ,D6a,2019
1,Sim,D007,D7,2019
2,Não,D007,D7,2019
9 ,Ignorado,D007,D7,2019
1,Sim,D008,D8,2019
2,Não,D008,D8,2019
9 ,Ignorado,D008,D8,2019
01,Creche,D00901,D9a,2019
02,Pré-escola ,D00901,D9a,2019
03,Classe de alfabetização – CA ,D00901,D9a,2019
04,Alfabetização de jovens e adultos,D00901,D9a,2019
05,Antigo primário (elementar),D00901,D9a,2019
06,Antigo ginasial (médio 1º ciclo),D00901,D9a,2019
07,Regular do ensino fundamental ou do 1º grau ,D00901,D9a,2019
08,Educação de jovens e adultos (EJA) ou supletivo do ensino fundamental,D00901,D9a,2019
09,"Antigo científico, clássico etc. (médio 2º ciclo)",D00901,D9a,2019
10,Regular do ensino médio ou do 2º grau,D00901,D9a,2019
11,Educação de jovens e adultos (EJA) ou supletivo do ensino médio,D00901,D9a,2019
12,Superior – graduação,D00901,D9a,2019
13,Especialização de nível superior (duração mínima de 360 horas),D00901,D9a,2019
14,Mestrado,D00901,D9a,2019
15,Doutorado,D00901,D9a,2019
99,Ignorado,D00901,D9a,2019
1,8 anos                            ,D010,D10,2019
2,9 anos,D010,D10,2019
9 ,Ignorado,D010,D10,2019
1,Períodos semestrais,D01101,D11a,2019
2,Anos,D01101,D11a,2019
3,Outra forma,D01101,D11a,2019
9 ,Ignorado,D01101,D11a,2019
1,Sim,D01201,D12a,2019
2,Não,D01201,D12a,2019
3,Curso não classificado em séries ou anos,D01201,D12a,2019
9 ,Ignorado,D01201,D12a,2019
1,Primeira(o),D01301,D13a,2019
2,Segunda(o),D01301,D13a,2019
3,Terceira(o) ,D01301,D13a,2019
4,Quarta(o),D01301,D13a,2019
5,Quinta(o),D01301,D13a,2019
6,Sexta(o),D01301,D13a,2019
7,Sétima(o),D01301,D13a,2019
8,Oitava(o),D01301,D13a,2019
9,Nona(o),D01301,D13a,2019
10,Décimo,D01301,D13a,2019
11,Décimo primeiro,D01301,D13a,2019
12,Décimo segundo,D01301,D13a,2019
99,Ignorado,D01301,D13a,2019
1,Anos iniciais (primeiro segmento) ,D01302,D13b,2019
2,Anos finais (segundo segmento) ,D01302,D13b,2019
9 ,Ignorado,D01302,D13b,2019
1,Sim,D01303,D13c,2019
2,Não,D01303,D13c,2019
9 ,Ignorado,D01303,D13c,2019
1,Sim,D014,D14,2019
2,Não,D014,D14,2019
9 ,Ignorado,D014,D14,2019
1,A própria pessoa,D015,D15,2019
2,Outro morador   ,D015,D15,2019
3,Não morador,D015,D15,2019
9,Ignorado,D015,D15,2019
1,Sim,E001,E1,2019
2,Não,E001,E1,2019
9,Ignorado,E001,E1,2019
1,Sim,E002,E2,2019
2,Não,E002,E2,2019
9,Ignorado,E002,E2,2019
1,Sim,E003,E3,2019
2,Não,E003,E3,2019
9,Ignorado,E003,E3,2019
1,Sim ,E004,E4,2019
2,Não,E004,E4,2019
9,Ignorado,E004,E4,2019
1,Sim ,E005,E5,2019
2,Não,E005,E5,2019
9,Ignorado,E005,E5,2019
1,"Férias, folga ou jornada de trabalho variável",E006011,E6a,2019
2,Licença maternidade ou paternidade,E006011,E6a,2019
3,Licença remunerada por motivo de saúde ou acidente da própria pessoa,E006011,E6a,2019
4,"Outro tipo de licença remunerada (estudo, casamento, licença prêmio etc.)",E006011,E6a,2019
5,"Afastamento do próprio negócio/empresa por motivo de gestação, doença, acidente etc., sem ser remunerado por instituto de previdência",E006011,E6a,2019
6,"Fatores ocasionais (mau tempo, paralisação nos serviços de transporte etc.) ",E006011,E6a,2019
7,Outro motivo,E006011,E6a,2019
9,Ignorado,E006011,E6a,2019
1,Sim ,E008,E8,2019
2,Não,E008,E8,2019
9,Ignorado,E008,E8,2019
1,Menos de 1 mês,E010010,E10a,2019
2,De 1 mês a menos de 1 ano   ,E010010,E10a,2019
3,De 1 ano a menos de 2 anos,E010010,E10a,2019
4, 2 anos ou mais ,E010010,E10a,2019
9,Ignorado,E010010,E10a,2019
01 a 11,01 a 11 meses,E010011,E10a,2019
99,Ignorado,E010011,E10a,2019
00 a 11,00 a 11 meses,E010012,E10a,2019
99,Ignorado,E010012,E10a,2019
02 a 98,2 anos ou mais ,E010013,E10a,2019
99,Ignorado,E010013,E10a,2019
1,Um,E011,E11,2019
2,Dois,E011,E11,2019
3,Três ou mais  ,E011,E11,2019
9,Ignorado,E011,E11,2019
código,"Ver ""Classificação nacional de ocupações para pesquisas domiciliares (COD) 2010""",E01201,E12,2019
9999,Ignorado,E01201,E12,2019
1,Trabalhador doméstico  ,E01401,E14a,2019
2,"Militar do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros militar ",E01401,E14a,2019
3,Empregado do setor privado ,E01401,E14a,2019
4,Empregado do setor público (inclusive empresas de economia mista),E01401,E14a,2019
5,Empregador,E01401,E14a,2019
6,Conta própria ,E01401,E14a,2019
7,Trabalhador não remunerado em ajuda a membro do domicílio ou parente ,E01401,E14a,2019
9,Ignorado,E01401,E14a,2019
1,Em ajuda a conta própria ou empregador ,E014011,E14a,2019
2,Em ajuda a empregado,E014011,E14a,2019
3, Em ajuda a trabalhador doméstico ,E014011,E14a,2019
9,Ignorado,E014011,E14a,2019
1,Sim,E01402,E14b,2019
2,Não ,E01402,E14b,2019
9,Ignorado,E01402,E14b,2019
1,Sim,E01403,E14c,2019
2,Não,E01403,E14c,2019
9,Ignorado,E01403,E14c,2019
código,"Ver ""Composição dos Grupamentos de Atividade"" e “Relação de Códigos de Atividades” da CNAE-Domiciliar 2.0",E01501,E15,2019
99999,Ignorado,E01501,E15,2019
1,Valor em dinheiro,E01601,E16,2019
9,Ignorado,E01601,E16,2019
valor em reais,R$,E01602,E16,2019
99999999,Ignorado,E01602,E16,2019
2,Valor estimado dos produtos ou mercadorias,E01603,E16,2019
9,Ignorado,E01603,E16,2019
valor em reais,R$,E01604,E16,2019
99999999,Ignorado,E01604,E16,2019
1,"Pessoa recebendo somente em beneficios, exceto aprendizado",E01605,E16,2019
2,Aprendiz ou estagiário recebendo em aprendizado e outros beneficios,E01605,E16,2019
3,Aprendiz ou estagiário recebendo somente em aprendizado,E01605,E16,2019
9,Ignorado,E01605,E16,2019
001 A 120,Horas,E017,E17,2019
1,Valor em dinheiro,E01801,E18,2019
9,Ignorado,E01801,E18,2019
valor em reais,R$,E01802,E18,2019
99999999,Ignorado,E01802,E18,2019
2,Valor estimado dos produtos ou mercadorias,E01803,E18,2019
9,Ignorado,E01803,E18,2019
valor em reais,R$,E01804,E18,2019
99999999,Ignorado,E01804,E18,2019
1,"Pessoa recebendo somente em beneficios, exceto aprendizado",E01805,E18,2019
2,Aprendiz ou estagiário recebendo em aprendizado e outros beneficios,E01805,E18,2019
3,Aprendiz ou estagiário recebendo somente em aprendizado,E01805,E18,2019
9,Ignorado,E01805,E18,2019
001 a 120,Horas,E019,E19,2019
1,Sim,E022,E22,2019
2,Não,E022,E22,2019
9 ,Ignorado,E022,E22,2019
01,"Entrou em contato com empregador (pessoalmente, por telefone, por e-mail ou pelo portal da empresa, inclusive enviando currículo) ",E023011,E23a,2019
02,Colocou ou respondeu anúncio de trabalho em jornal ou revista,E023011,E23a,2019
03,Consultou ou inscreveu-se em agência de emprego privada ou sindicato,E023011,E23a,2019
04,"Consultou ou inscreveu-se em agência municipal, estadual ou no Sistema Nacional de Emprego (SINE) ",E023011,E23a,2019
05,Fez ou inscreveu-se em concurso,E023011,E23a,2019
06,"Consultou parente, amigo ou colega ",E023011,E23a,2019
07,"Tomou medida para iniciar próprio negócio (recursos financeiros, local para instalação, equipamentos, legalização etc.)",E023011,E23a,2019
08,Tomou outra providência,E023011,E23a,2019
09,Não tomou providência efetiva ,E023011,E23a,2019
99,Ignorado,E023011,E23a,2019
01,Conseguiu proposta de trabalho para começar após a semana de referência,E024011,E24a,2019
02,Estava aguardando resposta de medida tomada para conseguir trabalho,E024011,E24a,2019
03,Não conseguia trabalho adequado ,E024011,E24a,2019
04,Não tinha experiência profissional ou qualificação,E024011,E24a,2019
05,Não conseguia trabalho por ser considerado muito jovem ou muito idoso,E024011,E24a,2019
06,Não havia trabalho na localidade,E024011,E24a,2019
07,"Tinha que cuidar dos afazeres domésticos, do(s) filho(s) ou de outro(s) parente(s)",E024011,E24a,2019
08,Estava estudando (em curso de qualquer tipo ou por conta própria),E024011,E24a,2019
09,Por problema de saúde ou gravidez,E024011,E24a,2019
10,Não desejava trabalhar,E024011,E24a,2019
11,Outro motivo,E024011,E24a,2019
99,Ignorado,E024011,E24a,2019
1,Menos de 1 mês ,E02402,E24b,2019
2,De 1 mês a menos de 1 ano ,E02402,E24b,2019
3,1 ano ou mais   ,E02402,E24b,2019
9 ,Ignorado,E02402,E24b,2019
01 a 11,01 a 11 meses,E024021,E24b,2019
1,Menos de 1 mês  ,E025,E25,2019
2,De 1 mês a menos de 1 ano   ,E025,E25,2019
3,De 1 ano a menos de 2 anos ,E025,E25,2019
4,2 anos ou mais   ,E025,E25,2019
9 ,Ignorado,E025,E25,2019
 01 a 11,01 a 11 meses ,E02501,E25,2019
99,Ignorado,E02501,E25,2019
00 a 11,00 a 11 meses ,E02502,E25,2019
99,Ignorado,E02502,E25,2019
02 a 98,2 anos ou mais ,E02503,E25,2019
99,Ignorado,E02503,E25,2019
1,Sim,E026,E26,2019
2,Não,E026,E26,2019
9 ,Ignorado,E026,E26,2019
1,Sim,E02601,E26a,2019
2,Não,E02601,E26a,2019
9 ,Ignorado,E02601,E26a,2019
1,Sim,E02801,E28,2019
2,Não,E02801,E28,2019
9 ,Ignorado,E02801,E28,2019
1,Sim,E02802,E28,2019
2,Não,E02802,E28,2019
9 ,Ignorado,E02802,E28,2019
1,Sim,E02803,E28,2019
2,Não,E02803,E28,2019
9 ,Ignorado,E02803,E28,2019
1,Sim,E02804,E28,2019
2,Não,E02804,E28,2019
9 ,Ignorado,E02804,E28,2019
1,Sim,E02805,E28,2019
2,Não,E02805,E28,2019
9 ,Ignorado,E02805,E28,2019
1,Sim,E02806,E28,2019
2,Não,E02806,E28,2019
9 ,Ignorado,E02806,E28,2019
1,Sim,E030,E30,2019
2,Não,E030,E30,2019
9 ,Ignorado,E030,E30,2019
1,Sim,E03101,E31a,2019
2,Não,E03101,E31a,2019
9 ,Ignorado,E03101,E31a,2019
1,Sim,E03102,E31b,2019
2,Não,E03102,E31b,2019
9 ,Ignorado,E03102,E31b,2019
1,Sim,E03103,E31c,2019
2,Não,E03103,E31c,2019
9 ,Ignorado,E03103,E31c,2019
1,Sim,E03104,E31d,2019
2,Não,E03104,E31d,2019
9 ,Ignorado,E03104,E31d,2019
1,Sim,E03105,E31e,2019
2,Não,E03105,E31e,2019
9 ,Ignorado,E03105,E31e,2019
1,Sim,E03106,E31f,2019
2,Não,E03106,E31f,2019
9 ,Ignorado,E03106,E31f,2019
1,Sim,E03107,E31g,2019
2,Não,E03107,E31g,2019
9 ,Ignorado,E03107,E31g,2019
1,Sim,E03108,E31h,2019
2,Não,E03108,E31h,2019
9 ,Ignorado,E03108,E31h,2019
1,Sim,E032,E32,2019
2,Não,E032,E32,2019
9 ,Ignorado,E032,E32,2019
999,Ignorado,E033,E33,2019
1,Própria pessoa,E027,E27,2019
2,Outro morador   ,E027,E27,2019
3,Pessoa não moradora,E027,E27,2019
9,Ignorado,E027,E27,2019
1,Sim,F001011,F1a,2019
2,Não,F001011,F1a,2019
99999999,Ignorado,F001021,F1a,2019
1,Sim,F007011,F7a,2019
2,Não,F007011,F7a,2019
99999999,Ignorado,F007021,F7a,2019
1,Sim,F008011,F8a,2019
2,Não,F008011,F8a,2019
99999999,Ignorado,F008021,F8a,2019
1,Sim,VDF001,F8a,2019
2,Não,VDF001,F8a,2019
00000001 a 99999999,Reais,VDF00102,F8a,2019
1,A própria pessoa ,F016,F16,2019
2,Outro morador,F016,F16,2019
3,Pessoa não moradora,F016,F16,2019
9,Ignorado,F016,F16,2019
1,Sim,G033,G33,2019
2,Não,G033,G33,2019
9 ,Ignorado,G033,G33,2019
1,Sim,G034,G34,2019
2,Não,G034,G34,2019
9 ,Ignorado,G034,G34,2019
1,Sim,G035,G35,2019
2,Não,G035,G35,2019
9 ,Ignorado,G035,G35,2019
1,Sim,G036,G36,2019
2,Não,G036,G36,2019
9 ,Ignorado,G036,G36,2019
1,Sim,G038,G38,2019
2,Não,G038,G38,2019
9 ,Ignorado,G038,G38,2019
1,Sim,G039,G39,2019
2,Não,G039,G39,2019
9 ,Ignorado,G039,G39,2019
1,Sim,G040,G40,2019
2,Não,G040,G40,2019
9 ,Ignorado,G040,G40,2019
1,Sim,G041,G41,2019
2,Não,G041,G41,2019
9 ,Ignorado,G041,G41,2019
1,Sim,G042,G42,2019
2,Não,G042,G42,2019
9 ,Ignorado,G042,G42,2019
1,Sim,G044,G44,2019
2,Não,G044,G44,2019
9 ,Ignorado,G044,G44,2019
1,"Não, nenhuma dificuldade",G046,G46,2019
2,"Sim, alguma dificuldade",G046,G46,2019
3,"Sim, muita dificuldade",G046,G46,2019
4,"Sim, não consegue de modo algum",G046,G46,2019
9 ,Ignorado,G046,G46,2019
1,"Não, nenhuma dificuldade",G047,G47,2019
2,"Sim, alguma dificuldade",G047,G47,2019
3,"Sim, muita dificuldade",G047,G47,2019
4,"Sim, não consegue de modo algum",G047,G47,2019
9 ,Ignorado,G047,G47,2019
1,Sim,G048,G48,2019
2,Não,G048,G48,2019
9 ,Ignorado,G048,G48,2019
1,Sim,G049,G49,2019
2,Não,G049,G49,2019
9 ,Ignorado,G049,G49,2019
1,Sim,G050,G50,2019
2,Não,G050,G50,2019
9 ,Ignorado,G050,G50,2019
1,Sim,G051,G51,2019
2,Não,G051,G51,2019
9 ,Ignorado,G051,G51,2019
1,Sim,G052,G52,2019
2,Não,G052,G52,2019
9 ,Ignorado,G052,G52,2019
1,Sim,G053,G53,2019
2,Não,G053,G53,2019
9 ,Ignorado,G053,G53,2019
1,Sim,G054,G54,2019
2,Não,G054,G54,2019
9 ,Ignorado,G054,G54,2019
1,Sim,G055,G55,2019
2,Não,G055,G55,2019
9 ,Ignorado,G055,G55,2019
